year,state_abbr,state,county,fips,category,measure_id,measure,short_question_text,prevalence,lower_ci,upper_ci,total_population,adult_population,relative_ci_width
2022,OH,Ohio,Auglaize,39011,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,6.2,5.4,7,45948,35074,0.2580645161290322
2021,OH,Ohio,Auglaize,39011,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,30.3,27,33.9,45948,35074,0.22772277227722768
2022,OH,Ohio,Auglaize,39011,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,76.1,72.4,79.6,45948,35074,0.09461235216819959
2022,OH,Ohio,Auglaize,39011,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,18.5,16.5,20.7,45948,35074,0.22702702702702698
2022,OH,Ohio,Auglaize,39011,Health Outcomes,DEPRESSION,Depression among adults,Depression,25.2,21.9,28.9,45948,35074,0.2777777777777778
2022,OH,Ohio,Auglaize,39011,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,10.1,8.8,11.6,45948,35074,0.27722772277227714
2022,OH,Ohio,Auglaize,39011,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,11.9,10.5,13.4,45948,35074,0.24369747899159666
2022,OH,Ohio,Auglaize,39011,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,8,7.3,8.9,45948,35074,0.20000000000000007
2022,OH,Ohio,Auglaize,39011,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,23,19.6,26.6,45948,35074,0.30434782608695654
2022,OH,Ohio,Auglaize,39011,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,72.9,65.4,79.6,45948,35074,0.19478737997256498
2022,OH,Ohio,Auglaize,39011,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,19,17.2,20.9,45948,35074,0.19473684210526312
2022,OH,Ohio,Auglaize,39011,Health Outcomes,OBESITY,Obesity among adults,Obesity,42.6,36.6,49,45948,35074,0.29107981220657275
2022,OH,Ohio,Belmont,39013,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,8.8,7.8,9.9,65509,53278,0.23863636363636367
2021,OH,Ohio,Belmont,39013,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,32.6,29.2,36.2,65509,53278,0.2147239263803682
2022,OH,Ohio,Belmont,39013,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,76,72.6,79.2,65509,53278,0.08684210526315801
2022,OH,Ohio,Belmont,39013,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,23.2,20.8,25.6,65509,53278,0.20689655172413796
2022,OH,Ohio,Belmont,39013,Health Outcomes,DEPRESSION,Depression among adults,Depression,28.1,24.9,31.5,65509,53278,0.2348754448398577
2022,OH,Ohio,Belmont,39013,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,12.2,10.7,13.7,65509,53278,0.24590163934426232
2022,OH,Ohio,Belmont,39013,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,15.6,13.9,17.3,65509,53278,0.21794871794871798
2022,OH,Ohio,Belmont,39013,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,9.8,8.9,10.8,65509,53278,0.19387755102040818
2022,OH,Ohio,Belmont,39013,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,31.2,27.6,34.9,65509,53278,0.2339743589743589
2022,OH,Ohio,Belmont,39013,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,72.9,66.4,78.9,65509,53278,0.17146776406035663
2022,OH,Ohio,Belmont,39013,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,21.9,20,23.9,65509,53278,0.17808219178082185
2022,OH,Ohio,Belmont,39013,Health Outcomes,OBESITY,Obesity among adults,Obesity,43,37.9,48.1,65509,53278,0.23720930232558146
2022,OH,Ohio,Brown,39015,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,8.3,7.3,9.3,43680,33820,0.24096385542168683
2021,OH,Ohio,Brown,39015,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,31.9,28.3,35.7,43680,33820,0.23197492163009412
