fips,county,state_abbr,year_access2,year_bphigh,year_checkup,year_csmoking,year_depression,year_diabetes,year_foodinsecu,year_lacktrpt,year_lpa,year_mammouse,year_mhlth,year_obesity,prevalence_access2,prevalence_bphigh,prevalence_checkup,prevalence_csmoking,prevalence_depression,prevalence_diabetes,prevalence_foodinsecu,prevalence_lacktrpt,prevalence_lpa,prevalence_mammouse,prevalence_mhlth,prevalence_obesity,lower_ci_access2,lower_ci_bphigh,lower_ci_checkup,lower_ci_csmoking,lower_ci_depression,lower_ci_diabetes,lower_ci_foodinsecu,lower_ci_lacktrpt,lower_ci_lpa,lower_ci_mammouse,lower_ci_mhlth,lower_ci_obesity,upper_ci_access2,upper_ci_bphigh,upper_ci_checkup,upper_ci_csmoking,upper_ci_depression,upper_ci_diabetes,upper_ci_foodinsecu,upper_ci_lacktrpt,upper_ci_lpa,upper_ci_mammouse,upper_ci_mhlth,upper_ci_obesity
39073,Hocking,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.1,34,75.6,25,28.3,12.8,14,9.1,31,70.6,23.1,42.7,8.9,30.3,71.8,22.5,24.7,11.2,12.5,8.2,27,62.5,21.1,36.4,11.3,38,79.3,27.8,32.2,14.5,15.6,10,35.3,77.7,25.2,49.4
39075,Holmes,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,13,32.9,72.6,26.8,29.4,12.3,15.6,9.9,32.7,69.2,23.7,42.7,11.6,28.9,68.3,23.9,25.4,10.7,13.9,9,28.1,60.5,21.6,34.8,14.5,37.2,76.7,29.6,33.6,14,17.4,10.9,37.6,77.4,25.8,50.6
39077,Huron,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10,33,77.1,18.5,25.5,11.7,13.5,9.1,23.4,73.5,19.1,41.9,8.9,29.5,73.1,16.3,21.9,10.1,11.9,8.1,19.9,65.8,17.3,35.2,11.2,36.8,80.4,20.6,29,13.2,15.1,10,26.9,79.9,20.9,48.3
39079,Jackson,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.9,34.8,76.9,21.9,28.3,12.4,15.2,10.1,30.2,70.4,21.1,43.7,6.9,31.2,73.2,19.6,24.6,10.9,13.6,9.2,26.4,62.1,19.1,37.4,8.9,38.5,80.4,24.3,32.3,14.1,17,11.1,34.3,77.5,23.1,50.4
39081,Jefferson,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.6,33.2,78.7,20.9,27.3,11.1,15.4,9.7,26.1,72,20.8,40.1,7.6,29.7,75.3,18.6,23.9,9.8,13.8,8.8,22.7,64.8,19,34.7,9.7,36.7,81.7,23.1,30.8,12.6,17.1,10.7,29.7,78.5,22.7,45.5
39083,Knox,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.4,30.8,75.5,18.5,27.6,10.2,13.1,9.2,26.2,72.7,20.6,35.8,7.5,27.4,72,16.5,24.3,8.9,11.6,8.3,22.7,65.6,18.9,30.4,9.5,34.3,79,20.7,31.4,11.6,14.6,10.1,30.2,79.4,22.5,41.9
39085,Lake,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.4,30.6,76.3,16.9,25.9,10.8,9.5,6.9,24.7,76.9,19.2,40.9,5.7,27,72.6,14.9,22.5,9.5,8.4,6.2,21.2,70.3,17.5,34.9,7.2,34.4,79.7,19,29.5,12.3,10.7,7.6,28.4,82.7,21,47.2
39087,Lawrence,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.2,36.6,75.9,24.4,30.6,13,14.7,9.6,33.5,69.4,23.4,44.9,7.2,33.1,72.3,21.9,27.1,11.5,13,8.7,29.5,62,21.4,39.4,9.2,40.1,79.3,27.1,34.4,14.6,16.5,10.6,37.7,76.4,25.6,50.6
39089,Licking,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.9,30.8,76.7,19.9,26.6,10.8,10.4,7.5,24.7,76,20.3,36,7.1,27.4,72.9,17.6,23,9.4,9.2,6.8,21,68.6,18.5,30.1,8.8,34.3,80,22.1,30.1,12.3,11.7,8.3,28.4,82.1,22.2,41.8
39091,Logan,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.8,32.1,75.2,21.2,26.9,11.6,15.6,9.8,28.6,73,21.2,38.7,6.9,28.3,70.9,18.7,22.9,10,13.9,8.9,24.2,65.2,19.2,31.2,8.8,36.1,79,23.9,31,13.2,17.4,10.8,33.2,80.1,23.2,46.4
39093,Lorain,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.3,33.1,77.2,19.4,29.1,11.6,12.7,8.4,28.1,73.5,21.3,39.6,7.4,29.5,73.5,17.1,25.4,10.2,11.4,7.7,24.3,66.2,19.4,33.8,9.3,36.9,80.3,21.5,32.5,13.1,14.2,9.3,31.6,79.6,23.1,45.1
39095,Lucas,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.7,33.5,79.5,19.8,27.9,12.8,15.3,10.1,27.2,73.8,21.6,42.4,6.9,30.6,76.8,17.8,25.1,11.5,13.8,9.2,24.4,67.7,19.8,38.6,8.7,36.4,82.1,21.9,30.9,14.3,17,11.1,30.1,79.3,23.4,46.4
39097,Madison,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.7,33.5,75.3,22.3,26.7,11.6,12.4,8.4,26.9,70.8,21.2,41.7,7.7,29.4,71.7,20,23.3,10.2,11,7.5,23.2,63.1,19.5,34.9,9.8,37.8,79.3,25,30.8,13.3,13.9,9.3,31.5,78.7,23.3,49.5
